명칭,우편번호,주소,개요,문의 및 안내,쉬는날,체험안내,체험가능연령,이용시기,이용시간,주차시설,유모차 대여 여부,애완동물 동반 가능 여부,신용카드 가능 여부,상세정보
태종대온천찜질방,49126,부산광역시 영도구 태종로 808,"* 산과 바다, 공원을 만끽하며 온천도 즐기자, 태종대 온천 *<br /><br />태종대온천은 천혜의 절경을 자랑하는 태종대에 인접하고 태종대 자갈마당과 3분 거리에 있으며, 영도 봉래산을 끼고 있어 온천과 함께 산, 바다, 공원을 함께 즐길 수 있는 곳에 위치하고 있다.태종대 온천에는 물리 수치료에 의한 건강탕, 황토불로한증막, 게르마늄습식사우나, 참숯사우나, 피라미드탕, 노천욕탕 등 다양한 기능탕 등을 보유하고 있어 고객들의 건강증진과 기분전환에 기여하고 있다.<br /><br />* 태종대온천 이용 가능 시설 *<br /><br />온천시설은 건강탕, 황토불로한증막, 게르마늄습식사우나, 참숯사우나, 피라미드탕, 노천옥탕 등이 조성되어 있다. 찜질방에는 아이스방, 참숯소금방, 황토방, 토굴방, 산소방의 찜질 공간과 마사지실, 수면실, 한식당, 놀이방, 매점 등의 휴식 공간으로 구성되어 있다. 헬스클럽은 150여 평의 운동공간에 최신 유산소, 웨이트 장비들을 갖추고 과학적이고 친절한 지도자의 단계별 체계적인 운동처방 실시하고 있다.<br>",051-404-9001,,,,,"[찜질방] 24시간<br />
[사우나] 04:00~24:00",있음,없음,불가,,"이용가능시설:* 온천시설 - 피라미드탕, 노천탕, 숯사우나, 건강탕<br />
* 찜질방 - 아이스방, 참숯소금방, 황토방, 토굴방, 산소방, 마사지실, 수면실, 한식당, 놀이방, 매점<br />
* 헬스클럽 - 150여 평의 운동공간에 최신 유산소, 웨이트 장비들을 갖추고 과학적이고 친절한 지도자의 단계별 체계적인 운동처방 실시

입 장 료:[온천]<br />
대인 9,000원 / 소인 6,000원
"
평화공원,48529,부산광역시 남구 신선로447번길 10,"부산 시민들의 대표적인 쉼터 평화공원은 동백나무, 소나무 등 수목 3만 그루를 심어 더욱 푸른 공간으로 탄생시켰다. 공원 한가운데 하늘로 솟구쳐 오르는 분수가있어 여름에는 이곳에서 물놀이를 즐길 수 있고, 밤에는 아름답게 빛나는 분수가를 배경으로 연인과함께 시간을 보내기에 좋다.<br>",051-607-6362,연중무휴,,,,"유엔기념공원: 연중무휴(9:00 ~ 18:00 / 동절기 17:00 이후 입장 불가)<br />
유엔평화기념관: 10:00~18:00(매주 월요일 휴관)","있음(소형, 대형 가능)",불가,가능,,"화장실:있음
이용가능시설:조각품, 중앙광장, 잔디광장, 주차장, 화장실, 산책로, 조명시설, 편의시설 (파고라, 벤치) 등

입 장 료:무료
"
공수어촌체험마을,46084,부산광역시 기장군 기장읍 공수해안길 13-2,"부산 기장군 공수어촌체험마을은 맑고 푸른 동해와 접하고 있어 수려한 해안절경과 천혜의 자연경관으로 도시민의 휴양지로 각광을 받고 있어 관광개발의 잠재력이 풍부하며, 부산의 외곽지역으로 해운대 및 송정해수욕장과 연계되어 있으며 동해 남부선 철도와 국도 14호선이 기장군의 중심부를 관통하여 교통이 매우 편리한 여건을 가지고 있다.공수란 마을명은 이 마을에 공수전(公須田)이 있는데에서 유래되었다. 공수전은 고려시대 때 관청의 영선비, 출장 중인 관리의 숙박이나 접대비 등을 충당하기 위하여 마련해 놓은 밭을 말한다.조선조 성종때(1469년)만들어진 동국여지승람(東國輿地勝覽)의 기장현읍지에도 공수포는 재현남십리(再現南十里)라 하였으니 공수라는 이름은 오래 되었다. 결국 이곳은 공수전에 있었기 때문에 공수라는 이름이 되었다. 조선조광해군 시대는 기장군 남면 공수어촌체험마을이었으나 1914년 기장군이 동래군에 병합되면서 기장면 시랑리 공수어촌체험마을로 되었다.<br /><br />공수어촌체험마을에 제일 먼저 홍씨장씨(洪氏長氏) 부부가 입주하여 살았고 그 부부가 공수어촌체험마을을 개척하였다. 하여 후세 동민이 홍씨 할아버지를 등두암에 장씨 할머니는 마을 안에 있는 제당에 각각 모시고 매년 음력 보름과 6월 15일 2회에 부락의 안녕을 위하여 제사를 지내고 있다.2001년도에 어촌체험시범마을로 지정되어 해조류 말리기 체험장, 지압산책로, 물고기체험장, 나무다리 산책로 등이 설치되어 있고 바닷가에서 양쪽으로 그물을 끌어당겨 물고기를 잡는 후릿그물이라는 전통어법체험, 해녀체험, 조간대 체험등 다양한 체험프로그램들이 있어 방문객들이 꾸준히 찾아오고 있다. 또한, 매년 ‘기장 공수어촌체험마을 별신굿’이 개최되는데, 별신굿이란 고기를 잡을 때 무사하고 풍어를 기원하는 내용의 굿으로 현재는 전통예술로 승화되어 보존하고 있다. 2011년에 26회째를 맞이했으며 2월5일부터 10일까지 진행되었다.공수어촌체험마을은 140여 가구 약 500여명이 거주하고 있으며 대부분 미역과 다시마양식, 어로 등 수산업에 종사하고 있다. 작은 어촌마을이지만 경관이 아름답고, 체험 또한 다양하게 즐길 수 있는 어촌체험마을이다.<br>",051-723-1919,,"- 후릿그물체험<br />
- 조간대 체험<br />
- 통발체험<br />
- 선상낚시체험<br />
- 어선승선체험<br />
- 해조류말리기 체험<br />
- 해녀체험<br />
- 방파제낚시체험<br />
- 천연비누만들기<br />
<br />
※ 체험중류와 금액은 계절 및 마을 사정에 따라 변동가능",,,,주차 가능,없음,없음,,"화장실:있음
외국어 안내서비스:불가
"
동래온천 노천족탕,47709,부산광역시 동래구 금강공원로26번길 21(온천동),"우리 나라에서 가장 오래된 온천의 하나로 수온은 63℃이며, 약칼리성 식염천으로 목욕 외 온천수를 마시면 만성 위장병 및 위장근약증에 효과가 있는 것으로 알려져 있다. 또한, 류마티스성 질환, 운동장애, 신경통, 관절염, 피로회복, 혈액순환 장애에도 효과가 있는 건강온천으로 알려져 있다. 족탕의 효능으로는 인체 12경락의 중요한 혈들이 밀집한 '제 2의 심장'인 발과 발목 주변의 근육과 관절을 뜨거운 물로 자극, 전신의 혈액순환을 원활하게 하며, 특히 발의 피로감, 고혈압, 저혈압, 권태감, 생리불순, 요통, 관절염 등의 예방.치료에 효과가 있다고 알려져 있다.

* 족탕수온 - 40℃이상 온천수 10톤
* 규모 - 138㎡, 50∼60명 동시수용가능
* 주변현황 - 허심청, 녹천탕, 천일탕 등 동래온천 이용 대형 목욕업소가 위치해 있으며 온천 상징물인 온정개건비가 인접해 있음.

* 족탕 이용법 *
1) 먼저 세족탕에서 발을 깨끗이 씻는다.
2) 족탕에 복사뼈 위 8㎝(또는 손가락 4마디 정도)가 잠기도록 발을 담근다.
3) 편안한 마음으로 20분정도 족욕을 한다.
4) 수건으로 발을 닦고 마무리 한다.(수건은 족탕 내 자판기 설치 운영)",051-550-6602,"수요일 ,목요일",,,,10:00 ~16:00,있음,없음,불가,,"화장실:남/여 화장실 구분
입 장 료:무료
"
금강식물원,46240,부산광역시 금정구 장전동 산 43-1,"우리나라 최초의 민간인이 운영하는 식물원으로서 지난 1969년 9월에 성창기업(주) 회장 정태성씨가 부산시민에게 휴식처를 제공하기 위하여 조성한 종합식물원이다. 면적은 194,480㎡이며, 식물의 종류는 약 2,300여종으로 열대식물 560여종 중에서 야자류 20여종과 선인장 등의 다육식물 540여종이 식생하고 있다. 또한, 식물원 안에는 아름다운 식물이 경관을 이루고 있으며 자연석을 이용한 여러가지 작품과 휴식시설이 갖추어져 있어 도시민의 정서적인 휴양지로 사용될 뿐만 아니라 식물학연구와 교육장으로 활용되고 있다. 금강식물원에는 인공폭포 및 자연석과 조경작품 12개소가 있으며, 관람온실이 있어 다양한 식물과 함께 멋진 정취를 느낄 수 있다.",051-582-3284,연중무휴,,,,08:00 ~ 17:00,있음,없음,불가,,"화장실:있음
이용가능시설:인공폭포 및 자연석 조경작품 12개소, 관람온실
입 장 료:개인 - 대인 1,000원 / 경로.청소년 600원 / 어린이(만3세~초등학생) 500원<br />
단체 - 대인 800원 / 경로.청소년 500원 / 어린이 400원
"
대변마을,46079,부산광역시 기장군 기장읍 기장해안로 605,"멸치의 고장, 기장에서도 멸치의 주산지로 꼽히는 곳이 바로 대변마을. 대변항은 물살 센 동해에 접해 있지만 파도가 밀려와도 자연스럽게 방파제 역할을 해주는 죽도를 눈앞에 두고 있는 천혜의 어항을 낀 어촌마을이다. 봄철 대변항에는 왕멸치가 잡혀오는데 멸치의 길이가 15cm나 된다. 항구에 들어온 멸치어선들은 잡은 멸치를 털어내는데 노랫가락에 맞추어 멸치를 털어내는 모습이 대변항을 대표하는 상징적인 풍경이다. 대변마을은 조선 중기 때부터 사용된 이름인데 당시 김성련이란 선비가 적은 병술일기에 우기이대변포문생원가라는 기술이 있었고, 대동고변포라는 긴 지명을 줄여 대변포라 부르다가 대변마을이 되었다 한다.",051-253-8253,,,,,,주차 가능,불가,가능,,"촬영장소:영화 '친구' 촬영지<br>
드라마 '드림' 촬영지
"
영도 등대,49127,부산광역시 영도구 전망로 181,"* 부산항의 영롱한 불빛, 영도 등대 *
1906년12월 시작된 영도등대의 처음 명칭은 목장이라는 뜻의 목도(牧島)등대라 하였으며 1948년 1월 4일 절영도(絶影島)등대로 개칭하였다. 절영도라는 지명은 영도에서 군사훈련용 말을 많이 길렀는데 영도에서 기른 말들은 비호같이 빨라 순식간에 말의 그림자도 보이지 않았다 하여 절영도라 불리었으며 881년에는 절영도진(絶影島鎭)이 설치된 바 있고 1951년 9월 1일 영도출장소(影島出張所)가 설치되었는데 행정편의상 절(絶)자를 빼고 영도(影島)라고 하였다.
부산시 영도구 태종대에 위치한 영도등대는 1906년 12월에 설치되어 지난 100여년 동안 부산항의 길목에서 영롱한 불빛을 밝혀왔으나 시설 노후로 2004년에 새로운 등대 시설물로 교체되어 부산지역의 해양관광 명소로 거듭났다. 새로 건립된 영도등대는 등대시설, 예술작품 전시실 그리고 자연사 박물관 등 3개동(연면적 720㎡)으로 구성되어 있으며, 등대시설은 기존 등대와 같이 백색의 원형 철근콘크리트 구조로 높이가 35m이며 불빛은 40km까지 나아간다.
* 영도등대에 들리면 전시실도 방문하라 *
영도등대의 전시실(see&amp;sea 갤러리)은 시민들과 방문객을 위해 미술작품을 소개하는 장소로 활용하고 있으며 자연사 박물관은 등대 바로 옆 신선바위 등에서 발견된 공룡발자국과 백악기 공룡서식지로 추측되는 이곳을 기념하는 공룡화석 등을 전시하고 있다. 영도등대에 오시면 등대와 바다, 천혜의 절경 그리고 덤으로 해양갤러리에서 미술작품도 감상할 수 있어 가족이나 연인과 함께 체험할 수 있는 친숙한 해양문화공간으로써 역할을 할 것이며 영도등대는 새천년의 빛을 밝히며 해양부국실현을 향한 힘찬 도약의 선봉장이 될 것이다.
* 최초점등일 - 1906년 12월
* 구조 - 백원형 콘크리트(35m)
* 등질 - 섬백광 18초 3섬광[Fl(3)W18s]
* 특징 - 우리나라 최대항만인 부산항 초입의 해안절경이 수려한 태종대에 위치하며 대한해협과 부산항을 운항하는 선박의 지표역할을 한다.",051-405-1201,"매주 월요일, 1월 1일, 추석, 설날, 기타 운영상 휴관이 불가피 한 경우",,,,,,없음,없음,,"화장실:있음
이용가능시설:<strong>전시 및 공연시설</strong><br />
- See&amp;Sea갤러리, 야외공연장<br />
<br />
<strong>해양학습시설</strong><br />
&nbsp;- 입체영상관, 해양도서관, 정보이용실, 세미나실<br />
<br />
<strong>기타시설</strong><br />
&nbsp;- 바다 전망대, 바다헌장 기념비, 휴게실, 홍보패널, 해기사 명예의 전당, 자갈마당, 신선바위 등 자연시설<br />
"
영도대교,49042,부산광역시 영도구 태종로 46(대교동1가),일제가 우리나라를 수탈하던 시기에 사람들의 수송을 위해 육지(남포동)와 섬(영도)을 잇는 부산 최초로 건설된 다리이다. 남항과 북항을 오가는 배들이 지날 수 있도록 도개교 형태를 띠고 있으며 적을 때는 2회 많을 때는 7회까지 다리를 들어올렸다. 당시 다리가 하늘로 치솟는 신기한 모습을 보기위해 많은 사람들이 모였으며 점차 부산의 명물로 자리 잡았다. 이후 6.25동란 때에는 헤어진 가족들이 만나는 약속의 장소였으며 서로의 생사를 알기위한 답답한 심정을 다리 밑 난전의 점바치들에게 물어보던 피란민들의 애환이 서린 곳이다.초기에는 부산대교라 이름 붙였으나 다리가 노후화됨에 따라 부산대교를 새로 설치하면서 영도대교로 이름이 바뀌었다. 사람들의 기억에는 영도다리라는 이름으로 더욱 친근하다.<br>,1670-8114,,,,,도개시간 : 토요일 14:00~14:15 (주 1회 도개),,없음,없음,,
송정 죽도공원,48072,부산광역시 해운대구 송정해변로 1-23,"송정해수욕장 입구의 죽도에 울창한 자연림으로 조성된 공원이 있어 해수욕장을 찾아오는 관광객뿐만 아니라 지역 주민들에게도 편안한 휴식공간을 제공한다. 공원을 따라 언덕으로 올라가는 길에 길게 이어진 산책로는 둥글둥글하고 매끄러운 돌바닥으로 되어 있고, 갖가지 기념 조각물이 세워져 올라오는 길에 눈을 즐겁게 해준다. 그리고 곳곳에 의자가 놓여 있어 공원을 산책하다가 잠깐씩 휴식을 취하며 주변 경치를 감상할 수 있도록 해준다. 송정해수욕장 바로 옆, 죽도공원의 정상의 바위 끝에 위치한 암자인 송일정은 일출과 월출로 이미 잘 알려진 곳이다.
송일정에서 바라보는 탁 트인 바다의 전경은 그 동안의 묵은 잡념들을 다 떨쳐버릴만큼 시원한 풍광을 자랑한다. 송일정 주변에는 길게 성벽이 쌓아져 있어 연인들이 이곳에 기대어 바다를 배경삼아 떠오르는 태양과 달빛을 감상하며 낭만을 즐기기에 아주 적합하다.
송일정으로 올라오기 위해 거쳐야 하는 죽도공원의 산책로는 둥글둥글한 돌바닥으로 되어 있고, 갖가지 기념 조각물이 세워져 올라오는 길에 눈을 즐겁게 해준다. 그리고 곳곳에 벤치가 놓여 있어 공원을 산책하다가 잠깐씩 휴식을 취하며 주변 경치를 감상할 수 있도록 해준다. 죽도공원을 따라 내려오면 공원 입구에 바로 송정해수욕장으로 갈 수 있고 이곳의 명물인 빨강과 하얀 등대를 구경할 수 있다. 소나무 숲과 한데 어우러져 동양적인 풍류가 있는 송일정에서 바라보는 탁 트인 바다의 전경은 그 동안의 묵은 잡념들을 다 떨쳐버릴만큼 시원한 풍광을 자랑한다.
송일정 주변에는 길게 성벽이 쌓아져 있어 연인들이 이곳에 기대어 바다를 배경 삼아 떠오르는 태양과 달빛을 감상하며 낭만을 즐기기에 아주 적합하다. 또 죽도 공원 입구에 우뚝 솟아 흰색과 빨간색의 강렬한 대비를 이루는 두개의 송정 등대가 보여 운치를 더해준다.
부산시 해운대구 송정동에 위치한 송정해수욕장은 길이 2km, 너비 50m의 길고 넓은 백사장을 가지고 있다. 수심이 얕고 파도도 잔잔하여 아이를 동반한 가족 피서지로 적합하며, 수질 또한 맑고 깨끗하며, 부산의 해운대해수욕장이나 광안리해수욕장 등에서 느껴지는 번잡하고 화려한 분위기와는 다르게 조용하고 아늑하다. 숨막히는 도시의 번잡함에서 벗어나 자연의 아름다움과 순수가 함께 숨쉬는 이곳은 예비 신랑신부들을 위한 촬영장소로도 각광을 받고 있다. 
그리고 기장과의 경계가 되는 송정천에는 겨울, 봄으로 쇠백로가 날아와 월동을 나고 있다. 해안을 따라 자연산 회를 취급하는 횟집이 늘어서있고 해안끝 광어골에는 외식문화 거리가 조성되어 있어 또 다른 별미를 맛볼 수 있다.<br>",송정관광안내소 051-749-5800,연중개방,,전연령,,00:00~24:00,주차가능,없음,없음,,"이용가능시설:운동시설, 쉼터
화장실:있음
"
금강암(부산),46200,부산광역시 금정구 범어사로 254(청룡동),"1803년 취규 선사가 창건하였으며 대지의 만물 가운데 가장 견고한 것은 금강이라 금강 같은 견고한 상매를 성취하여 고혜를 벗어나 피안으로 향하는 나루가 되기를 염원하는 뜻에서 금강암이란 이름이 붙여졌다.  창건 이래 1863년 응허화상이 중건하였고 1899년 영남 최초의 선원을 개설하여 그 해 겨울 수옹 성월 월송 등 7분의 납자가 동안거를 원만, 성취하였으니 영남선원의 효시가 되었다. <br>",051-508-4509,연중무휴,,,,,,없음,없음,,"화장실:있음
한국어 안내서비스:가능
"
문화공감 수정(부산 수정동 일본식 가옥),48785,부산광역시 동구 홍곡로 75(수정동),"문화공감 수정(문화재명:부산 수정동 일본식 가옥, 구 정란각)은 1943년에 지어진 일본식 건물로 넓은 대지 안에 맞배지붕으로 되어 있는 대문 3칸이 있고 몸채 1동이 남쪽을 향해 있다. 몸채 현관의 오른쪽은 벽돌(조적조)로 지어져 있으며 이를 제외한 대부분은 일본식 목조 주택으로 지어졌다. 현재 1층의 일부는 온돌방으로 개조되어 있으나 2층에는 전형적인 일본 식 주택에서 볼 수 있는 툇마루(연가와)와 장마루를 설치한 복도, 그리고 다다미방이 원형대로 남아있다. 또한 다다미가 깔려 있는 실내에는 도코노마, 쓰케쇼인, 명장지, 다다미, 일본식 창호 문양 등의 세부적인 장식이 원형대로 보존되어있다. 고급 일본식 건물의 외장 요소를 잘 갖추고 있으며 특히 2층의 일본 식 전통 주택의 형식을 철저히 따른 공간의 구성과 치장이 특징적이다. 일제 강점기 근대 주택 건축사와 생활사 연구에 중요한 자료적 가치를 지닌 곳으로 평가받는 공간이다.
(출처 : 문화공감 수정 홈페이지)",문화공감 수정 051-441-0740,매주 월요일,,전연령,,10:00~17:00,주차가능(수정1동 공용주차장),없음,없음,,"시설이용료:따뜻한 꽃차 5,000원<br/>
시원한 꽃에이드 6,000원<br/>
※ 자세한 사항은 홈페이지 메뉴판 참조
"
소림사(부산),48812,부산광역시 동구 초량상로65번길 7(초량동),"대한조계종 소림사는 도시내에 있는 비구니 사찰로 일제강점기 때 지어진 것이나 그 정확한 연대는 알 수 없다. 신축 중이어서 옛 건물의 모습은 찾아 볼 수 없으며 노스님(정금광)은 최초의 화엄 비구니 법사이셨으며 보살선방이라하여 보살님들이 참건할 수 있는 공간이 따로 마련되어 있다. 아가방, 독서실, 어린이집을 운영하고 있으며 몇 해 전에는 여래사 불교대학이 있었으나 지금 현재는 없다.<br>","051-253-8253,051-468-4497",연중무휴,,,,,,없음,불가,,"화장실:있음
"
부산 진지성,48746,부산광역시 동구 자성로 99(범일동),"임진왜란 이전의 부산전성 지성 터이자 임진왜란 후의 부산진 첨사영터의 성곽은 아주 넓었으나 일제강점기의 전차선로 공사와 매축으로 인해 예전의 모습은 찾아볼 수 없으며, 1974년 7월 8일~1975년 2월 25일까지 시행된 정화복원공사 때 현재의 모습으로 신축하였다. 동문(진동문-鎭東門),서문(금루관-金壘關),장대(진남루-鎭南縷)가 있다. 서문의 왼쪽에 남요인후(南요因喉-이곳은 나라의 목에 해당할 만큼 요충지가 되는 남쪽의 국경이다.)이라 새긴 돌기둥(높이 272cm, 폭 46cm x 94cm)을 세우고, 문의 오른쪽에는 서문쇄약(西門鎖약)-서문은 나라의 자물쇠와 같다)라 새긴 돌기둥(높이277cm, 폭 62cm x 71cm)을 세웠다. 이 두 우주석은 본래 부산진 첨사영성(釜山眞 僉使營城)의 자리였던 현 성남국민학교 교정에 버려져 있던 것을 1975년 정화공사때 복원하여 지금의 자리에 옮겨 세운 것이다. 장대(진남루-鎭南樓)의 동쪽에는 충장공 천만리 장군 유적비가 세워져 있다. 그밖에도 최영장군사당과 최영장군 항제가 있다.<br>",051-711-6566,,,,,,,없음,없음,,
부산진일신여학교,48724,부산광역시 동구 정공단로17번길 17(좌천동),"부산진 일신여학교는 근대적 여성 교육기관으로 호주 장로교 선교회 여자전도부가 1895년 10월 5일 좌천동에서 한칸의 초가집에서 수업연한 3개년의 소학과정학교를 설치하였는데 이 학교가 부산진 일신여학교였다. 2001년까지 신학교로 이용했으며, 금정구 부곡동에 있는 동래 여자고등학교의 전신이다. 1905년에 지어진 2층 벽돌교사가 아직도 남아 있으며 3.1 독립운동의 거점이 되었던 곳이기도 하다. <br>",051-635-7113,,,,,,,없음,없음,,
온정개건비,47709,부산광역시 동래구 금강로124번길 23-17(온천동),"이 비석은 동래부사 강필리(姜必履) 공이 온정을 대대적으로 수축한 공적을 기리기 위하여 1766년(영조 42)에 세운 것이다.동래온천에 관해서는 신라시대에서 조선시대에 이르기까지 여러 가지 기록이 남아 있는데, &lt;&lt;동래부지(東萊府誌)&gt;&gt; &lt;산천조(山川條)&gt; 에는 ""온정은 부의 북쪽 5리에 있는데 그 열이 계란을 익힐 만하고 병자가 이곳에서 목욕을 하면 빨리 나아 신라 때에는 왕이 여러 번 이곳에 행차하였다.""고 기록되어 있다. 당시의 온정은 내·외 두 석조(石槽)에 10여명 정도가 목욕할 수 있는 작은 규모였고, 온천물의 수온은 매우 높았다. 그 후 강필리 부사에 의해 1766년(영조 42)에 개건된 온정은 '돌로 탕 두개를 만들고 아홉 칸의 욕사(浴舍)를 지었는데, 남탕과 여탕을 구분하고 지붕을 덮었다.'라고 되어 있다. 1991년 온천 용각을 복원하여 매년 음력 9월 9일 동래온천번영회 주관으로 온천용왕대제를 봉행하고 있다.<br>",051-550-4081,,,,,,,없음,없음,,
해월정,48117,부산광역시 해운대구 중동,달맞이길 중간에 위치한 해월정은 옛부터 대한팔경의 하나이며 일출의 장관과 월출의 경이로움을 한자리에서 감상할 수 있는 곳으로서 유명하다. 매년 정월 대보름이면 와우산의 아름다운 전설로 하여 많은 선남 선녀들이 이곳을 찾아와 소원을 빈다.<br>,051-749-5700,연중개방,,,,상시 가능,있음,없음,없음,,"입 장 료:없음
"
전포카페거리,47293,부산광역시 부산진구 전포대로209번길 26(전포동),"부산 서면은 다양한 볼거리와 먹거리, 쇼핑거리가 있는 곳이다. 번화가인 서면 1번가 맞은편 쪽에는 아기자기하게 꾸며놓은 개성있는 카페 30여 곳이 들어서 있는 조용한 분위기의 카페 거리가 있다. 원래 부전동과 전포동은 공구, 철물 등 산업용품 및 자재를 파는 가게들이 많던 공구상가 거리였으나 2010년 이후 많은 수의 아기자기한 카페들이 들어서면서 이색적인 카페거리로 불리고 있다. 대부분 개인이 운영하는 소규모 카페로 다양한 원두와 커피 맛을 느낄 수 있다.<br>",051-605-4521,상점마다 다름,,,,상점마다 다름,없음,불가,가능,,"화장실:카페 화장실 이용
"
임랑해수욕장,46038,부산광역시 기장군 장안읍 임랑리,"예부터 월내해수욕장과 함께 임을랑포라 한다. 이곳 주민들의 아름다운 송림(松林)과 달빛에 반짝이는 은빛 파랑(波浪)의 두자를 따서 임랑이라 하였다고 한다. 차성가에서도 ‘도화수(桃花水) 뛰는 궐어(?魚; 쏘가리) 임랑천에 천렵(川獵)하고, 동산(東山) 위에 달이 떴으니 월호(月湖)에 선유(船遊)한다’라고 하여 이곳의 자연경관을 예찬하였다. 그리하여 이곳의 경관을 월호추월(月湖秋月)의 승경(勝景)이라 하여 차성 팔경의 하나로 여긴다.<br>이곳의 해안에는 백설 같은 백사장이 넓게 깔려 있다. 백사장 주변에는 노송이 즐비하여 병풍처럼 푸른 숲을 이루고 있다. 이에 따라 옛사람들도 이곳 임랑천의 맑은 물에서 고기잡이하면서 놀다가 밤이 되어 송림 위에 달이 떠오르면 사랑하는 님과 함께 조각배를 타고 달구경을 하면서 뱃놀이를 즐겼다고 한다. 오늘에 와서는 이곳을 아름다운 해수욕장으로 단장하였다. 해수욕장은 여름에 지역의 주민과 외지인들에게 즐거운 휴식의 장소로 알려져 있다. 이곳에는 해수욕장뿐만 아니라 인근의 자연산 횟집들이 즐비하고 있어 언제든지 방문하여도 자연의 아름다움과 맛의 멋을 즐길 수 있다.<br>인근에는 기장의 4대 고찰의 하나인 장안사와 묘관음사가 있어 자녀의 교육과 휴식을 함께 즐길 수 있는 곳이다. 부산에서 동해남부선(월내역 하차)을 이용하여 기차여행의 멋을 즐길 수 있고 승용차로도 가족이나 연인과 함께 휴식하기에 적합한 장소이다.",051-709-5448,연중개방,,전연령,,09:00~18:00,주차가능,없음,없음,,
신선대(부산),48548,부산광역시 남구 신선로303번길 6(용당동),"황령산에서 뻗어나온 산등성이가 부산만에 몰입되면서 이루어진 우암반도의 남단에 위치한 신선대는 오륙도가 있는 탁트인 바다를 바라보기 좋은곳이다. 면적은 4,121.707㎥이며 산봉우리에 있는 무제등이란 큰 바위에 신선의 발자국과 신선이 탄 백마의 발자취가 있다는 데서 신선대란 이름이 유래된 것으로 전해진다. 신라말기 최치원이 이곳에서 유람한 곳이라고도 한다.<br>",051-253-8253,없음,,,,,"있음(소형, 대형 가능)",불가,가능,,"관광코스안내:[반나절코스] 이기대 해안 산책로 → 오륙도 → 백운포 → 신선대<br>
[한나절코스] 이기대 →장자산→오륙도→점심→백운포 →신선대→황령산
"
오륙도 스카이워크,48594,부산광역시 남구 오륙도로 137,"오륙도 스카이워크의 옛 지명은 “승두말”이다. 승두말은 말안장처럼 생겼다고 「승두마」라고 부르는 것이 승두말로 되었으며 해녀들과 지역주민들은 「잘록개」라고 불렀다. 바다를 연모하는 승두말이 오륙도 여섯섬을 차례대로 순산하고 나서 승두말의 불룩했던 부분이 잘록하게 들어가 선창나루와 어귀의 언덕을 만들었다는 것이다. 동해와 남해의 경계지점이기도 한 이곳 승두말에 2012년 9월 12일에 착공하여 2013년 10월 18일 개장하면서 “하늘위를 걷는다”는 의미를 담아 “오륙도 스카이워크”라 이름하였다.<br><br>스카이워크는 35M 해안절벽 위에 철제빔을 설치하고 그 위에 유리판 24개를 말발굽형으로 이어놓은 15M의 유리다리이다. 바닥유리는 12mm유리판 4장에 방탄필름을 붙혀 특수 제작한 두께 55.49mm의 고하중 방탄유리로 “안전하게 설계되었다.”발 아래 투명유리를 통해 파도가 절벽을 때리는 모습은 현기증이 날 정도로 아찔함을 느끼게 한다. 스카이워크 앞에 펼쳐진 바다는 시시때때로 아름답고 다채로운 색상을 연출하고 있어 사진촬영의 명소이며, 날씨가 좋은 날에는 대마도를 가장 가까이 볼 수 있는 곳이다.","해파랑길 관광안내소 051-607-6395<br>
시설관리사업소 : 051-607-4937","연중무휴 (단, 우천 및 강풍 시 또는 시설  개보수 시 휴무 / 설날,추석 당일 12:00~18:00)",,,,"개방시간 : 09:00~18:00 (입장마감 17:50)<br />
※ 기상상황에 따라 이용 제한","있음(소형, 대형 가능)",불가,가능,,"촬영장소:영화 '해운대' 촬영지
입 장 료:무료
"
